dax;ftse
4992,75;5340,79
5005,93;5359,31
4989,98;5375,10
4901,88;5338,01
4911,17;5347,44
4905,98;5383,45
4986,50;5407,90
4926,13;5429,68
4962,86;5416,36
4875,22;5369,68
4849,01;5385,73
4882,58;5413,56
4998,16;5453,08
4965,88;5447,31
5048,74;5494,79
5021,17;5478,22
5044,12;5477,71
5082,07;5501,55
5138,02;5494,43
5069,42;5427,82
5017,27;5372,37
5007,77;5362,30
5022,79;5374,55
5032,46;5380,67
4981,77;5342,16
4950,07;5265,22
4975,56;5275,00
4978,83;5286,53
4947,18;5263,93
4845,98;5167,85
4864,25;5164,07
4838,40;5142,12
4901,79;5207,60
4872,97;5182,12
4900,79;5227,81
4806,05;5182,75
4825,64;5213,40
4929,07;5317,28
4922,55;5344,33
4954,83;5358,63
5011,00;5431,93
4995,24;5423,56
5024,20;5460,80
5008,83;5460,91
5011,38;5439,81
5015,55;5423,50
5090,75;5465,06
5092,43;5470,00
5110,61;5439,60
5081,46;5429,95
5099,72;5460,02
5123,50;5498,90
5170,61;5497,94
5174,72;5517,21
5196,08;5531,71
5187,98;5511,01
5194,27;5523,84
5176,59;5477,37
5199,48;5490,99
5193,40;5423,17
5266,55;5486,12
5307,99;5528,08
5266,86;5510,39
5300,85;5538,77
5266,75;5528,84
5286,75;5531,11
5282,13;5517,42
5301,21;5501,48
5310,28;5507,24
5286,76;5521,13
5295,82;5495,34
5353,66;5531,63
5350,18;5539,78
5356,60;5547,94
5397,23;5587,38
5398,28;5596,98
5419,05;5595,45
5419,05;5595,45
5444,84;5595,45
5447,15;5622,79
5458,58;5638,32
5408,26;5618,76
5449,98;5618,76
5460,68;5681,46
5523,62;5714,58
5516,53;5691,18
5536,32;5731,78
5537,11;5731,46
5494,71;5688,83
5532,89;5731,54
5542,13;5735,15
5483,09;5711,03
5514,64;5740,24
5460,16;5698,96
5395,61;5663,65
5430,84;5693,19
5349,02;5672,36
5348,72;5660,94
5334,30;5633,80
5427,09;5704,39
5548,91;5722,61
5647,42;5786,84
5660,03;5779,84
5674,15;5760,26
5726,53;5801,63
5649,60;5747,27
5657,12;5759,32
5666,78;5772,36
5672,92;5746,79
5666,41;5725,09
5743,68;5808,75
5701,47;5764,11
5756,33;5793,51
5763,40;5792,29
5764,37;5791,46
5789,25;5828,88
5795,48;5846,17
5793,95;5862,96
5801,04;5857,66
5862,06;5872,39
5857,88;5836,04
5870,79;5860,49
5915,15;5875,86
5796,04;5791,54
5866,61;5844,07
5783,49;5832,98
5721,46;5858,69
5754,06;5897,82
5739,28;5857,37
5673,36;5812,94
5732,22;5855,89
5804,92;5907,87
5855,16;5952,84
5870,88;5950,59
5898,48;5965,06
5897,79;5993,25
5882,38;5999,41
5902,79;5991,73
5911,86;5991,25
5932,31;6007,46
5947,11;5990,06
5973,14;6036,27
5912,26;5972,18
5890,63;5935,68
5914,78;5959,22
5984,19;6015,25
5970,08;5964,57
6024,05;6024,28
6013,85;6004,69
6029,20;6044,09
6031,39;6045,65
5952,92;6026,11
6003,40;6066,98
5908,47;6016,49
5901,25;6000,84
5918,57;6029,37
5918,57;6029,37
5918,57;6029,37
5902,58;6044,13
5993,76;6089,77
6063,28;6081,41
6094,75;6132,74
6079,09;6098,71
6078,80;6086,62
6107,12;6104,34
6067,74;6060,03
6009,89;6023,14
6009,89;6023,14
6051,29;6082,07
5968,96;6010,02
6039,32;6036,89
6113,29;6091,74
6127,98;6067,10
6140,72;6105,64
6118,38;6083,39
6054,72;6042,03
5916,28;5912,11
5857,03;5841,27
5851,92;5846,18
5652,72;5675,49
5666,07;5671,59
5672,28;5657,37
5546,24;5532,72
5678,49;5678,71
5587,23;5587,06
5706,06;5677,70
5788,36;5791,00
5755,02;5791,00
5622,43;5652,02
5692,86;5723,81
5707,59;5749,69
5687,04;5764,62
5621,19;5762,13
5502,81;5669,79
5543,93;5706,29
5383,28;5562,94
5464,08;5655,20
5395,55;5620,86
5292,14;5519,63
5305,99;5506,82
5422,22;5619,28
5376,01;5597,44
5439,23;5626,09
5493,61;5658,19
5503,41;5665,03
5533,42;5684,08
5529,74;5692,14
5514,63;5681,24
5459,15;5652,25
5456,87;5678,58
5581,67;5791,48
5683,31;5833,42
5712,69;5884,44
5729,01;5883,53
5625,63;5826,68
5695,47;5890,03
5681,85;5888,86
5706,32;5896,90
5616,04;5857,30
5637,82;5860,56
5527,29;5765,02
5422,22;5707,62
5416,96;5700,97
5396,85;5681,70
5539,29;5777,96
5545,82;5770,88
5451,01;5719,74
5578,05;5833,87
5565,76;5851,16
5583,10;5877,10
5659,07;5929,49
5705,42;5974,92
5681,97;5928,33
5596,74;5880,84
5680,82;5932,11
5640,03;5838,35
5723,03;5889,40
5626,67;5828,80
5651,92;5818,09
5702,81;5860,47
5630,96;5823,38
5628,37;5820,13
5692,00;5870,87
5776,80;5897,88
5812,94;5896,60
5833,51;5900,42
5817,02;5903,36
5794,83;5915,24
5818,41;5902,64
5775,54;5860,04
5814,08;5869,09
5811,47;5878,59
5854,99;5878,59
5847,02;5888,28
5867,53;5929,34
5859,57;5906,13
5876,54;5949,15
5909,72;5986,64
5884,07;5981,69
5813,06;5929,27
5773,72;5858,12
5795,26;5879,27
5798,46;5850,77
5873,85;5895,48
5906,12;5892,15
5907,37;5877,22
5937,87;5877,01
5926,33;5890,25
5873,46;5831,79
5954,38;5866,23
5962,03;5896,73
5883,32;5822,28
5901,66;5798,31
5960,63;5873,55
5989,71;5930,14
5989,16;5971,34
6004,33;5960,81
5999,46;5957,83
5992,22;5937,09
6046,37;5966,50
6075,28;6004,52
6085,82;6001,19
6084,40;6030,88
6117,71;6072,69
6119,45;6073,51
6160,28;6121,28
6173,68;6157,31
6186,54;6172,37
6115,10;6108,62
6182,78;6150,39
6177,42;6155,97
6202,82;6155,19
6242,91;6166,13
6247,52;6182,51
6264,92;6214,55
6284,19;6184,82
6262,54;6160,88
6258,19;6126,79
6268,92;6129,22
6291,90;6149,62
6223,33;6149,28
6241,15;6148,13
6330,65;6224,54
6361,96;6243,96
6349,26;6238,99
6358,68;6231,53
6357,77;6208,41
6393,73;6194,18
6387,38;6186,63
6430,89;6229,79
6443,02;6254,85
6412,36;6192,04
6452,33;6204,52
6460,39;6202,62
6476,13;6160,28
6475,25;6139,99
6411,96;6122,07
6298,17;6050,08
6281,68;6025,91
6363,80;6084,36
6309,19;6048,85
6241,13;6021,54
6295,23;6050,43
6372,80;6086,42
6369,51;6090,35
6413,03;6131,48
6427,41;6152,44
6469,42;6159,77
6476,17;6156,40
6520,77;6192,46
6552,58;6227,96
6588,83;6260,02
6597,25;6247,43
6553,51;6203,95
6586,91;6198,59
6573,96;6183,70
6503,13;6189,97
6503,13;6189,97
6503,13;6189,97
6608,86;6245,24
6611,81;6240,95
6596,92;6220,81
6596,92;6220,81
6681,13;6310,93
6691,32;6319,01
6674,40;6286,96
6593,09;6220,12
6607,59;6194,16
6614,37;6196,14
6566,56;6160,68
6687,30;6230,07
6705,17;6239,01
6731,74;6263,46
6716,82;6215,66
6701,70;6204,46
6689,62;6210,27
6747,17;6237,19
6687,31;6218,43
6678,93;6227,61
6748,37;6314,79
6719,58;6269,26
6690,34;6228,04
6726,01;6239,88
6788,23;6241,96
6789,11;6203,09
6851,28;6282,23
6885,76;6310,92
6874,06;6317,90
6875,70;6346,26
6915,56;6369,47
6876,73;6346,39
6911,11;6382,84
6859,45;6353,46
6895,34;6381,76
6961,18;6421,21
6958,62;6433,32
6957,07;6419,53
6987,08;6444,44
6982,91;6412,33
6941,66;6357,07
6973,73;6380,94
6992,58;6401,49
7027,59;6434,70
6819,65;6286,08
6715,44;6171,47
6640,24;6116,04
6603,32;6116,24
6534,57;6058,65
6595,00;6138,54
6617,75;6156,49
6713,23;6227,69
6716,52;6245,23
6715,49;6233,28
6623,99;6161,15
6447,70;6000,71
6585,47;6133,22
6579,87;6130,60
6671,41;6189,36
6700,29;6220,26
6712,06;6256,77
6856,96;6318,03
6899,06;6339,38
6828,82;6291,94
6858,34;6292,59
6816,89;6267,21
6897,08;6324,18
6917,03;6308,03
6937,17;6315,53
7045,56;6366,11
7073,91;6364,70
7099,91;6397,34
7099,91;6397,34
7099,91;6397,34
7166,67;6417,77
7152,83;6413,25
7142,95;6416,37
7212,07;6462,43
7338,06;6516,22
7348,83;6497,78
7282,34;6449,36
7242,73;6440,57
7342,54;6486,75
7335,62;6479,71
7270,32;6429,54
7343,08;6461,95
7387,02;6469,38
7378,12;6418,67
7408,87;6449,21
7408,87;6419,61
7455,93;6484,45
7476,69;6537,77
7516,76;6603,66
7525,69;6603,66
7442,20;6550,43
7475,99;6549,60
7415,33;6524,12
7479,34;6565,67
7459,61;6555,50
7505,35;6568,65
7481,25;6559,45
7499,50;6579,25
7607,54;6640,92
7619,31;6636,79
7659,39;6606,61
7735,88;6616,40
7697,38;6565,45
7739,20;6570,55
7739,20;6570,55
7781,04;6606,48
7764,97;6602,08
7883,04;6621,45
7987,85;6676,66
7976,79;6664,11
7919,83;6632,80
7730,05;6522,69
7618,61;6505,12
7590,50;6505,11
7706,10;6567,52
7678,26;6520,45
7680,76;6559,56
7849,16;6649,92
8030,64;6732,40
8036,12;6703,50
8033,52;6650,24
8090,49;6649,25
7964,71;6595,99
7949,63;6567,35
7930,61;6588,41
7860,52;6559,28
7801,23;6527,57
7921,36;6571,28
8007,32;6607,90
7958,24;6590,55
8050,68;6639,81
8075,26;6673,07
7987,13;6635,23
8048,32;6690,12
8077,39;6712,67
7964,76;6630,93
7898,54;6615,13
8053,43;6697,70
8092,77;6716,72
8105,69;6697,73
8038,21;6659,15
7893,61;6567,06
7991,21;6640,23
7874,85;6585,23
7944,21;6624,38
7806,79;6498,71
7692,55;6454,31
7508,96;6251,20
7451,68;6215,20
7456,31;6206,12
7584,14;6360,11
7473,93;6250,57
7534,13;6300,26
7435,67;6224,25
7444,45;6189,10
7513,66;6308,84
7605,94;6393,88
7453,59;6271,21
7343,26;6038,34
7474,33;6219,01
7425,07;6143,51
7445,90;6109,33
7270,07;5858,93
7378,29;6064,24
7407,53;6078,68
7424,75;6086,10
7500,48;6195,96
7511,96;6196,87
7507,27;6220,09
7485,99;6220,09
7430,24;6102,23
7439,18;6132,22
7519,94;6212,00
7638,17;6303,30
7648,58;6315,22
7721,77;6376,84
7588,03;6270,67
7621,72;6313,31
7436,63;6191,23
7375,44;6134,13
7457,90;6280,68
7472,99;6306,19
7535,97;6363,89
7497,74;6289,34
7479,85;6182,78
7575,21;6283,30
7750,84;6460,04
7735,09;6429,00
7794,43;6456,69
7787,92;6465,91
7769,44;6396,90
7804,15;6433,03
7853,79;6486,42
7861,51;6466,79
7922,42;6506,25
7946,79;6500,40
7955,30;6535,21
7944,99;6547,91
8002,18;6595,81
7974,37;6540,90
7980,44;6615,39
7986,57;6633,02
8033,69;6724,54
8041,26;6730,71
7969,47;6644,48
7962,64;6614,29
7985,41;6677,67
7921,40;6609,42
7884,12;6527,92
7794,94;6459,32
7842,79;6513,99
7828,96;6481,99
7932,44;6576,31
7949,17;6661,34
8009,67;6706,04
7977,94;6658,99
8019,22;6721,57
7880,85;6586,08
7849,49;6530,60
7807,55;6461,43
7827,19;6474,93
7799,62;6385,10
7819,47;6381,87
7812,40;6304,88
7806,84;6337,90
7777,56;6362,35
7783,11;6432,12
7667,03;6359,58
7612,26;6291,18
7511,97;6120,81
7630,31;6226,51
7518,42;6070,87
7562,10;6155,31
7608,96;6262,11
7567,36;6180,48
7531,35;6140,66
7723,66;6306,24
7765,19;6349,11
7870,52;6432,45
7837,26;6386,57
7808,94;6315,21
7944,77;6493,80
7940,58;6485,63
7994,07;6554,94
8033,36;6565,37
8009,42;6536,86
8076,12;6559,80
7928,31;6364,20
7948,36;6396,96
7825,44;6277,82
7850,74;6279,29
7837,32;6284,54
7869,19;6345,56
8002,67;6434,08
8002,67;6479,32
8002,67;6479,32
8002,67;6479,32
8038,60;6497,83
8067,32;6476,89
8067,32;6456,91
8067,32;6456,91
7949,11;6416,68
7908,41;6479,44
7808,69;6348,52
7817,17;6335,67
7849,99;6356,49
7782,71;6272,70
7713,09;6222,69
7717,95;6202,04
7732,02;6215,69
7566,38;6025,58
7471,57;5942,88
7413,53;5902,41
7314,17;5901,70
6790,19;5578,23
6769,47;5740,11
6439,21;5609,35
6821,07;5875,81
6816,74;5868,96
6818,85;5788,85
6892,96;5885,24
6875,35;5837,31
6851,75;5879,78
6968,67;6029,18
7000,49;6026,21
6765,25;5868,03
6847,51;5875,37
6733,72;5724,12
6767,28;5784,01
6743,54;5707,69
6967,84;5909,97
6973,67;5880,06
6962,28;5879,30
6832,43;5787,61
6967,55;5946,62
7002,29;5966,93
6899,68;5893,57
6904,85;5932,22
6806,29;5888,48
6882,56;5999,51
6985,97;6087,37
6997,85;6076,53
6862,52;5965,66
6748,13;5884,28
6689,95;5818,62
6545,04;5767,74
6683,71;5853,46
6591,31;5766,39
6513,99;5699,91
6448,08;5629,08
6524,57;5690,39
6599,37;5776,41
6500,56;5692,41
6451,90;5631,70
6182,30;5414,42
6393,39;5605,77
6361,22;5545,63
6319,99;5495,24
6319,99;5495,24
6319,99;5495,24
6524,71;5689,07
6489,26;5660,39
6578,06;5717,47
6559,90;5692,88
6534,97;5702,11
6720,33;5852,58
6777,44;5915,94
6741,72;5891,32
6763,39;5947,11
6821,03;6014,76
6771,98;5990,21
6721,36;5983,87
6704,32;5965,09
6603,57;5895,46
6554,49;5831,61
6585,05;5906,86
6702,84;6046,23
6681,81;5980,35
6843,08;6056,55
6786,55;6052,97
6728,30;6034,73
6795,03;6083,61
6821,32;6050,69
6896,58;6091,37
6925,33;6090,36
6885,34;6089,36
6948,82;6087,30
6948,82;6087,25
7043,23;6215,53
7052,08;6215,53
7017,10;6215,25
7076,25;6260,95
7071,90;6270,81
7003,17;6204,69
7035,95;6220,65
7060,19;6211,85
7083,24;6215,99
7081,05;6251,82
7156,55;6304,25
7225,94;6376,49
7118,50;6191,61
7040,83;6198,08
7070,33;6181,56
6944,05;6087,28
6953,84;6087,28
6958,66;6058,53
7033,84;6069,59
7055,03;6068,13
7096,79;6053,50
7008,77;6007,61
7019,13;6057,70
6965,43;5970,14
6941,83;5995,34
6803,81;5906,84
6815,63;5877,56
6771,10;5827,32
6650,26;5723,33
6714,52;5790,51
6765,32;5802,78
6729,88;5794,56
6796,16;5861,92
6728,91;5756,85
6721,17;5708,36
6578,44;5620,77
6589,46;5667,23
6536,06;5634,74
6617,84;5666,12
6459,60;5518,23
6421,91;5529,95
6418,32;5625,90
6315,94;5479,93
6305,42;5426,32
6353,74;5476,57
6272,21;5412,75
6395,75;5512,71
6304,41;5440,51
6386,46;5529,60
6305,00;5406,76
6153,30;5261,60
6200,25;5300,37
6081,70;5171,91
6155,37;5150,62
6271,27;5286,27
6382,65;5376,37
6424,84;5404,34
6442,79;5364,15
6536,09;5449,89
6440,70;5362,26
6436,71;5352,56
6351,15;5312,60
6398,80;5319,23
6460,12;5420,70
6479,56;5411,90
6396,46;5354,67
6349,81;5320,22
6518,70;5454,47
6561,39;5486,13
6543,49;5477,49
6561,65;5489,16
6609,63;5541,78
6585,87;5534,46
6422,19;5448,63
6442,21;5497,45
6446,02;5454,77
6432,88;5450,19
6282,43;5320,36
6317,80;5371,77
6236,96;5370,19
6342,42;5505,56
6296,95;5505,56
6340,52;5470,65
6321,03;5528,15
6420,54;5601,15
6422,30;5636,61
6421,80;5602,82
6518,47;5620,70
6467,49;5499,68
6279,57;5362,06
6127,44;5240,68
6263,74;5446,28
6233,41;5415,61
6210,32;5366,22
6178,90;5318,36
6234,89;5416,73
6064,16;5204,18
5965,17;5025,59
5860,98;4912,36
5863,42;4879,99
6189,53;5311,33
6107,75;5236,26
6068,53;5136,12
6052,87;5095,57
6173,03;5197,02
6063,50;5088,47
5807,08;4818,77
5831,02;4902,45
5806,33;4959,59
5660,63;4870,34
5797,03;4980,25
5387,01;4589,19
5326,63;4605,22
5013,62;4366,69
4887,00;4313,80
4544,31;3932,06
5062,45;4256,90
5199,19;4394,21
4861,63;4079,59
4622,81;3861,39
4781,33;4063,01
4835,01;4282,67
4784,41;4229,73
4571,07;4040,89
4519,70;4087,83
4295,67;3883,36
4334,64;3852,59
4823,45;3926,38
4808,69;4242,54
4869,30;4291,65
4987,97;4377,34
5026,84;4443,28
5278,04;4639,50
5166,87;4530,73
4813,57;4272,41
4938,46;4364,96
5025,53;4403,92
4761,58;4246,69
4620,80;4182,02
4649,52;4169,21
4710,24;4232,97
4557,27;4132,16
4579,47;4208,55
4354,09;4005,68
4220,20;3874,99
4127,41;3780,96
4554,33;4152,96
4560,42;4171,25
4560,50;4152,69
4665,27;4226,10
4669,44;4288,01
4394,79;4065,49
4531,79;4122,86
4567,24;4169,96
4564,23;4163,61
4381,47;4049,37
4715,88;4300,06
4779,11;4381,26
4804,88;4367,28
4767,20;4388,69
4663,37;4280,35
4654,82;4277,56
4729,91;4309,08
4708,38;4324,19
4756,40;4330,66
4696,70;4286,93
4639,02;4249,16
4629,38;4255,98
4629,38;4216,59
4629,38;4216,59
4629,38;4216,59
4704,86;4319,35
4810,20;4392,68
4810,20;4434,17
4810,20;4434,17
4973,07;4561,79
4983,99;4579,64
5026,31;4638,92
4937,47;4507,51
4879,91;4505,37
4783,89;4448,54
4719,62;4426,19
4636,94;4399,15
4422,35;4180,64
4336,73;4121,11
4366,28;4147,06
4316,14;4108,47
4239,85;4091,40
4261,15;4059,88
4219,42;4052,23
4178,94;4052,47
4326,87;4209,01
4323,42;4194,41
4518,72;4295,20
4428,11;4190,11
4338,35;4149,64
4271,04;4077,78
4374,96;4164,46
4492,79;4228,60
4510,49;4228,93
4644,63;4291,87
4666,82;4307,61
4505,54;4213,08
4530,09;4234,26
4407,56;4202,24
4413,39;4189,59
4366,64;4134,75
4216,60;4034,13
4204,96;4006,83
4215,21;4018,37
4014,66;3889,06
3936,45;3850,73
3895,75;3816,44
3846,21;3848,98
3942,62;3915,64
3843,74;3830,09
3710,07;3625,83
3690,72;3512,09
3890,94;3645,87
3695,49;3529,86
3666,41;3530,73
3692,03;3542,40
3886,98;3715,23
3914,10;3693,81
3956,22;3712,06
3953,60;3753,68
4044,54;3863,99
3987,77;3857,10
3996,32;3804,99
4043,46;3816,93
4068,74;3842,85
4176,37;3952,81
4187,36;3911,46
4223,29;3900,25
4259,37;3925,20
4203,55;3898,85
3989,23;3762,91
4084,76;3926,14
4131,07;3955,61
4381,92;4124,97
4384,99;4029,67
4349,81;3993,54
4322,50;3930,52
4357,92;3925,52
4491,12;3983,71
4491,12;3983,71
4491,12;3983,71
4557,01;3988,99
4549,79;3968,40
4609,46;4052,98
4676,84;4092,80
4486,30;3990,86
4501,63;3987,46
4594,42;4030,66
4538,21;4018,23
4674,32;4155,99
4694,07;4167,01
4607,42;4096,40
4704,56;4189,59
4769,45;4243,71
4769,45;4243,22
4902,45;4243,22
4853,03;4336,94
4880,71;4396,49
4804,10;4398,68
4913,90;4462,09
4866,91;4435,50
4854,11;4425,54
4727,61;4331,37
4738,47;4362,58
4737,50;4348,11
4851,96;4446,45
4959,62;4482,25
5038,94;4468,41
4900,67;4345,47
4918,75;4365,29
4918,45;4365,29
4985,60;4411,72
5000,77;4416,23
4932,88;4387,54
4940,82;4417,94
5142,56;4506,19
5144,06;4477,02
5054,53;4383,42
5064,80;4386,94
5077,03;4438,56
5004,72;4405,22
4997,86;4404,79
5051,18;4436,75
5107,26;4461,87
5069,24;4441,95
4889,94;4326,01
4890,72;4328,57
4799,98;4278,46
4837,48;4280,86
4839,46;4345,93
4693,40;4234,05
4707,15;4230,02
4836,01;4279,98
4800,56;4252,57
4776,47;4241,01
4885,09;4294,03
4808,64;4249,21
4905,44;4340,71
4718,49;4234,27
4708,21;4236,28
4651,82;4194,91
4598,19;4187,00
4572,65;4140,23
4630,07;4158,66
4576,31;4127,17
4722,34;4202,13
4781,69;4237,68
4928,44;4346,46
4957,19;4361,84
4978,40;4388,75
5030,15;4443,62
5093,97;4481,17
5121,56;4493,73
5247,28;4559,80
5229,36;4576,61
5251,55;4586,13
5174,74;4528,84
5270,32;4547,53
5360,66;4631,61
5332,14;4608,36
5426,85;4682,46
5417,02;4671,37
5353,01;4647,13
5369,98;4690,53
5458,96;4731,56
5418,12;4722,20
5285,81;4671,34
5350,09;4716,76
5401,11;4755,46
5309,11;4713,97
5201,61;4645,01
5250,74;4685,78
5231,98;4689,67
5311,06;4756,58
5462,74;4850,89
5519,75;4896,23
5557,09;4916,80
5521,97;4890,58
5470,33;4869,35
5517,35;4908,90
5464,61;4908,90
5327,29;4819,70
5319,84;4817,55
5301,42;4796,75
5384,43;4851,70
5463,51;4933,18
5481,73;4947,34
5574,26;5004,30
5594,77;4987,68
5624,02;5011,47
5620,24;5018,85
5628,98;5042,13
5700,26;5124,13
5731,14;5163,95
5703,83;5172,89
5668,65;5134,36
5709,38;5142,60
5702,05;5139,37
5605,21;5079,27
5581,41;5082,20
5736,31;5165,70
5713,52;5159,72
5675,16;5133,90
5554,55;5047,81
5467,90;4988,70
5508,85;5024,33
5657,64;5137,98
5640,75;5108,90
5716,54;5154,64
5711,88;5161,87
5783,23;5210,17
5714,31;5154,15
5854,14;5256,10
5830,77;5222,95
5743,39;5190,24
5852,56;5281,54
5811,77;5243,40
5833,49;5257,85
5762,93;5207,36
5740,25;5242,57
5642,16;5191,74
5635,02;5200,97
5496,27;5080,42
5587,45;5137,72
5414,96;5044,55
5430,82;5104,50
5353,35;5037,21
5444,23;5107,89
5480,92;5125,64
5488,25;5142,72
5619,72;5235,18
5613,20;5230,55
5668,35;5266,75
5663,96;5276,50
5686,83;5296,38
5804,82;5382,67
5778,43;5345,93
5787,61;5342,13
5702,18;5267,70
5663,15;5251,41
5801,48;5355,50
5769,31;5323,96
5803,02;5364,81
5614,17;5194,13
5685,61;5245,73
5625,95;5190,68
5776,61;5312,17
5781,68;5327,39
5770,35;5313,00
5817,65;5322,36
5784,75;5310,66
5688,58;5223,13
5647,84;5203,89
5709,02;5244,37
5756,29;5261,57
5802,26;5315,34
5811,34;5285,77
5903,43;5320,26
5844,44;5217,61
5831,21;5196,81
5930,53;5293,99
5945,69;5328,66
5957,44;5372,38
5957,44;5402,41
5957,44;5402,41
6002,92;5402,41
6011,55;5437,61
5957,43;5397,86
5957,43;5412,88
5957,43;5412,88
6048,30;5500,34
6031,86;5522,50
6034,33;5530,04
6019,36;5526,72
6037,61;5534,24
6040,50;5538,07
5943,00;5498,71
5963,14;5473,48
5988,88;5498,20
5875,97;5455,37
5918,55;5494,39
5976,48;5513,14
5851,53;5420,80
5746,97;5335,10
5695,32;5302,99
5631,37;5260,31
5668,93;5276,85
5643,20;5217,47
5540,33;5145,74
5608,79;5188,52
5654,48;5247,41
5709,66;5283,31
5672,09;5253,15
5533,24;5139,31
5434,34;5060,92
5484,85;5092,33
5498,26;5111,84
5536,37;5131,99
5503,93;5161,48
5500,39;5142,45
5511,10;5167,47
5592,12;5244,06
5648,34;5276,64
5680,41;5325,09
5722,05;5358,17
5688,44;5352,07
5604,07;5315,09
5615,51;5342,92
5532,33;5278,22
5598,46;5354,52
5713,51;5405,94
5776,56;5484,06
5817,88;5533,21
5795,32;5527,16
5877,36;5599,76
5875,91;5606,72
5885,89;5602,30
5936,72;5640,57
5928,63;5617,26
5945,11;5625,65
5903,56;5593,85
5970,99;5620,43
6024,28;5644,63
6012,31;5642,62
5982,43;5650,12
5987,50;5644,54
6017,27;5673,63
6039,00;5677,88
6132,95;5727,65
6120,05;5703,02
6156,85;5710,66
6142,45;5672,32
6153,55;5679,64
6235,56;5744,89
6235,56;5744,89
6235,56;5744,89
6252,21;5780,35
6222,41;5762,06
6171,83;5712,70
6249,70;5770,98
6250,69;5777,65
6230,83;5761,66
6278,40;5796,25
6291,45;5825,01
6180,90;5743,96
6162,44;5727,91
6264,23;5783,69
6230,38;5723,43
6168,72;5665,33
6259,53;5723,65
6332,10;5753,85
6159,51;5603,52
6084,34;5586,61
6144,91;5617,84
6135,70;5553,29
6166,92;5553,29
6006,86;5411,11
5958,45;5341,93
5908,26;5260,99
5715,09;5123,02
6017,91;5387,42
6037,71;5334,21
6183,49;5383,45
6251,97;5433,73
6056,71;5262,85
6066,92;5262,54
6155,93;5307,34
5988,67;5158,08
5867,88;5073,13
5829,25;5062,93
5805,68;5069,61
5670,04;4940,68
5758,02;5038,08
5937,14;5195,17
5946,18;5188,43
5964,33;5188,43
5981,27;5163,30
5981,20;5151,32
6054,63;5211,18
5938,88;5126,00
5904,95;5069,06
5868,55;5028,15
5984,75;5085,86
6056,59;5132,50
6047,83;5163,68
6125,00;5202,13
6175,05;5217,82
6190,91;5237,92
6223,54;5253,89
6216,98;5250,84
6292,97;5299,11
6269,04;5246,98
6204,52;5178,52
6115,48;5100,23
6070,60;5046,47
6157,22;5071,68
5952,03;4914,22
5965,52;4916,87
5857,43;4805,75
5834,15;4838,09
5816,20;4823,53
5940,98;4965,00
5992,86;5014,82
6035,66;5105,45
6065,24;5132,94
6077,19;5167,02
6191,13;5271,02
6209,76;5253,52
6149,36;5211,29
6040,27;5158,85
6009,11;5148,28
5967,49;5139,46
5990,38;5214,64
6142,15;5313,81
6166,34;5312,62
6194,21;5351,12
6207,31;5365,67
6178,94;5319,68
6134,70;5313,95
6147,97;5258,02
6292,13;5397,11
6307,91;5396,48
6331,33;5386,16
6333,58;5365,78
6259,63;5332,39
6351,60;5410,52
6286,25;5376,41
6154,07;5245,21
6135,17;5266,06
6110,41;5275,44
6110,57;5276,10
6206,40;5350,55
6186,31;5302,87
6075,13;5211,29
6005,16;5195,28
6010,91;5234,84
5935,44;5155,95
5899,50;5109,40
5912,58;5155,84
5951,17;5201,56
5912,41;5201,56
5925,22;5225,22
6083,90;5366,41
6083,85;5371,04
6134,62;5428,15
6155,04;5439,19
6117,89;5407,82
6164,44;5429,74
